"date","category_grouped","outbreak_subgroup","TOTAL_CASES"
"2020-12-08","2 Congregate Living","SHELTER",1
"2020-12-08","3 Education","CHILD CARE",8
"2020-12-08","3 Education","SCHOOL - ELEMENTARY",22
"2020-12-08","3 Education","SCHOOL - ELEMENTARY/SECONDARY",1
"2020-12-08","3 Education","SCHOOL - SECONDARY",22
"2020-12-08","4 Workplace","RETAIL",30
"2020-12-08","4 Workplace","WORKPLACE - FARM",18
"2020-12-08","4 Workplace","WORKPLACE - FOOD PROCESSING",15
"2020-12-08","4 Workplace","WORKPLACE - OTHER",71
"2020-12-08","5 Recreational","BAR/RESTAURANT/NIGHTCLUB",5
"2020-12-08","5 Recreational","OTHER RECREATION",5
"2020-12-08","5 Recreational","RECREATIONAL FITNESS",3
"2020-12-09","1 Congregate Care","HOSPITAL",29
"2020-12-09","1 Congregate Care","LONG-TERM CARE HOME",84
"2020-12-09","1 Congregate Care","RETIREMENT HOME",46
"2020-12-09","2 Congregate Living","CONGREGATE OTHER",7
"2020-12-09","2 Congregate Living","CORRECTIONAL FACILITY",4
"2020-12-09","2 Congregate Living","GROUP HOME/SUPPORTIVE HOUSING",9
"2020-12-09","2 Congregate Living","SHELTER",1
"2020-12-09","3 Education","CHILD CARE",5
"2020-12-09","3 Education","SCHOOL - ELEMENTARY",35
"2020-12-09","3 Education","SCHOOL - ELEMENTARY/SECONDARY",1
"2020-12-09","3 Education","SCHOOL - POST-SECONDARY",1
"2020-12-09","3 Education","SCHOOL - SECONDARY",6
"2020-12-09","4 Workplace","MEDICAL/HEALTH SERVICE",1
"2020-12-09","4 Workplace","RETAIL",12
"2020-12-09","4 Workplace","WORKPLACE - FARM",4
"2020-12-09","4 Workplace","WORKPLACE - FOOD PROCESSING",34
"2020-12-09","4 Workplace","WORKPLACE - OTHER",70
"2020-12-09","5 Recreational","BAR/RESTAURANT/NIGHTCLUB",6
"2020-12-09","5 Recreational","OTHER RECREATION",21
"2020-12-09","6 Other/Unknown","OTHER",1
"2020-12-10","1 Congregate Care","HOSPITAL",45
"2020-12-10","1 Congregate Care","LONG-TERM CARE HOME",142
"2020-12-10","1 Congregate Care","RETIREMENT HOME",34
"2020-12-10","2 Congregate Living","CONGREGATE OTHER",5
"2020-12-10","2 Congregate Living","CORRECTIONAL FACILITY",18
"2020-12-10","2 Congregate Living","GROUP HOME/SUPPORTIVE HOUSING",9
"2020-12-10","3 Education","CHILD CARE",2
"2020-12-10","3 Education","SCHOOL - ELEMENTARY",30
"2020-12-10","3 Education","SCHOOL - POST-SECONDARY",1
"2020-12-10","3 Education","SCHOOL - SECONDARY",12
"2020-12-10","4 Workplace","MEDICAL/HEALTH SERVICE",2
"2020-12-10","4 Workplace","RETAIL",20
"2020-12-10","4 Workplace","WORKPLACE - FARM",3
"2020-12-10","4 Workplace","WORKPLACE - FOOD PROCESSING",25
"2020-12-10","4 Workplace","WORKPLACE - OTHER",74
"2020-12-10","5 Recreational","BAR/RESTAURANT/NIGHTCLUB",2
"2020-12-10","5 Recreational","OTHER RECREATION",7
"2020-12-10","5 Recreational","RECREATIONAL FITNESS",7
"2020-12-11","1 Congregate Care","HOSPITAL",36
"2020-12-11","1 Congregate Care","LONG-TERM CARE HOME",159
"2020-12-11","1 Congregate Care","RETIREMENT HOME",37
"2020-12-11","2 Congregate Living","CONGREGATE OTHER",6
"2020-12-11","2 Congregate Living","CORRECTIONAL FACILITY",1
"2020-12-11","2 Congregate Living","GROUP HOME/SUPPORTIVE HOUSING",11
"2020-12-11","2 Congregate Living","SHELTER",2
"2020-12-11","3 Education","CHILD CARE",5
"2020-12-11","3 Education","SCHOOL - ELEMENTARY",36
"2020-12-11","3 Education","SCHOOL - ELEMENTARY/SECONDARY",1
"2020-12-11","3 Education","SCHOOL - POST-SECONDARY",1
"2020-12-11","3 Education","SCHOOL - SECONDARY",9
"2020-12-11","4 Workplace","MEDICAL/HEALTH SERVICE",1
"2020-12-11","4 Workplace","RETAIL",11
"2020-12-11","4 Workplace","WORKPLACE - FARM",13
"2020-12-11","4 Workplace","WORKPLACE - FOOD PROCESSING",16
"2020-12-11","4 Workplace","WORKPLACE - OTHER",64
"2020-12-11","5 Recreational","BAR/RESTAURANT/NIGHTCLUB",1
"2020-12-11","5 Recreational","OTHER RECREATION",5
"2020-12-11","6 Other/Unknown","OTHER",2
"2020-12-12","1 Congregate Care","HOSPITAL",31
"2020-12-12","1 Congregate Care","LONG-TERM CARE HOME",165
"2020-12-12","1 Congregate Care","RETIREMENT HOME",49
"2020-12-12","2 Congregate Living","CONGREGATE OTHER",3
"2020-12-12","2 Congregate Living","CORRECTIONAL FACILITY",3
"2020-12-12","2 Congregate Living","GROUP HOME/SUPPORTIVE HOUSING",16
"2020-12-12","3 Education","CHILD CARE",7
"2020-12-12","3 Education","SCHOOL - ELEMENTARY",24
"2020-12-12","3 Education","SCHOOL - POST-SECONDARY",1
"2020-12-12","3 Education","SCHOOL - SECONDARY",11
"2020-12-12","4 Workplace","MEDICAL/HEALTH SERVICE",3
"2020-12-12","4 Workplace","RETAIL",13
"2020-12-12","4 Workplace","WORKPLACE - FARM",2
"2020-12-12","4 Workplace","WORKPLACE - FOOD PROCESSING",15
"2020-12-12","4 Workplace","WORKPLACE - OTHER",55
"2020-12-12","5 Recreational","OTHER RECREATION",3
"2020-12-12","5 Recreational","RECREATIONAL FITNESS",10
"2020-12-12","6 Other/Unknown","OTHER",2
"2020-12-13","1 Congregate Care","HOSPITAL",46
"2020-12-13","1 Congregate Care","LONG-TERM CARE HOME",156
"2020-12-13","1 Congregate Care","RETIREMENT HOME",29
"2020-12-13","2 Congregate Living","CONGREGATE OTHER",2
"2020-12-13","2 Congregate Living","CORRECTIONAL FACILITY",11
"2020-12-13","2 Congregate Living","GROUP HOME/SUPPORTIVE HOUSING",11
"2020-12-13","3 Education","CHILD CARE",7
"2020-12-13","3 Education","SCHOOL - ELEMENTARY",23
"2020-12-13","3 Education","SCHOOL - ELEMENTARY/SECONDARY",1
"2020-12-13","3 Education","SCHOOL - POST-SECONDARY",1
"2020-12-13","3 Education","SCHOOL - SECONDARY",13
"2020-12-13","4 Workplace","MEDICAL/HEALTH SERVICE",4
"2020-12-13","4 Workplace","RETAIL",14
"2020-12-13","4 Workplace","WORKPLACE - FARM",4
"2020-12-13","4 Workplace","WORKPLACE - FOOD PROCESSING",16
"2020-12-13","4 Workplace","WORKPLACE - OTHER",74
"2020-12-13","5 Recreational","BAR/RESTAURANT/NIGHTCLUB",2
"2020-12-13","5 Recreational","OTHER RECREATION",4
"2020-12-13","5 Recreational","RECREATIONAL FITNESS",1
"2020-12-13","6 Other/Unknown","OTHER",1
"2020-12-14","1 Congregate Care","HOSPITAL",27
"2020-12-14","1 Congregate Care","LONG-TERM CARE HOME",98
"2020-12-14","1 Congregate Care","RETIREMENT HOME",20
"2020-12-14","2 Congregate Living","CONGREGATE OTHER",3
"2020-12-14","2 Congregate Living","CORRECTIONAL FACILITY",3
"2020-12-14","2 Congregate Living","GROUP HOME/SUPPORTIVE HOUSING",3
"2020-12-14","2 Congregate Living","SHELTER",3
"2020-12-14","3 Education","CHILD CARE",6
"2020-12-14","3 Education","SCHOOL - ELEMENTARY",47
"2020-12-14","3 Education","SCHOOL - ELEMENTARY/SECONDARY",1
"2020-12-14","3 Education","SCHOOL - POST-SECONDARY",1
"2020-12-14","3 Education","SCHOOL - SECONDARY",14
"2020-12-14","4 Workplace","MEDICAL/HEALTH SERVICE",2
"2020-12-14","4 Workplace","RETAIL",11
"2020-12-14","4 Workplace","WORKPLACE - FARM",4
"2020-12-14","4 Workplace","WORKPLACE - FOOD PROCESSING",23
"2020-12-14","4 Workplace","WORKPLACE - OTHER",108
"2020-12-14","5 Recreational","BAR/RESTAURANT/NIGHTCLUB",7
"2020-12-14","5 Recreational","OTHER RECREATION",4
"2020-12-14","5 Recreational","RECREATIONAL FITNESS",4
"2020-12-15","1 Congregate Care","HOSPITAL",33
"2020-12-15","1 Congregate Care","LONG-TERM CARE HOME",218
"2020-12-15","1 Congregate Care","RETIREMENT HOME",46
"2020-12-15","2 Congregate Living","CONGREGATE OTHER",6
"2020-12-15","2 Congregate Living","CORRECTIONAL FACILITY",3
"2020-12-15","2 Congregate Living","GROUP HOME/SUPPORTIVE HOUSING",7
"2020-12-15","3 Education","CHILD CARE",4
"2020-12-15","3 Education","SCHOOL - ELEMENTARY",50
"2020-12-15","3 Education","SCHOOL - ELEMENTARY/SECONDARY",1
"2020-12-15","3 Education","SCHOOL - SECONDARY",11
"2020-12-15","4 Workplace","MEDICAL/HEALTH SERVICE",7
"2020-12-15","4 Workplace","RETAIL",21
"2020-12-15","4 Workplace","WORKPLACE - FARM",15
"2020-12-15","4 Workplace","WORKPLACE - FOOD PROCESSING",22
"2020-12-15","4 Workplace","WORKPLACE - OTHER",70
"2020-12-15","5 Recreational","OTHER RECREATION",10
"2020-12-15","5 Recreational","RECREATIONAL FITNESS",4
"2020-12-16","1 Congregate Care","HOSPITAL",37
"2020-12-16","1 Congregate Care","LONG-TERM CARE HOME",156
"2020-12-16","1 Congregate Care","RETIREMENT HOME",46
"2020-12-16","2 Congregate Living","CONGREGATE OTHER",2
"2020-12-16","2 Congregate Living","CORRECTIONAL FACILITY",26
"2020-12-16","2 Congregate Living","GROUP HOME/SUPPORTIVE HOUSING",16
"2020-12-16","2 Congregate Living","SHELTER",4
"2020-12-16","3 Education","CHILD CARE",5
"2020-12-16","3 Education","SCHOOL - ELEMENTARY",40
"2020-12-16","3 Education","SCHOOL - ELEMENTARY/SECONDARY",1
"2020-12-16","3 Education","SCHOOL - POST-SECONDARY",1
"2020-12-16","3 Education","SCHOOL - SECONDARY",10
"2020-12-16","4 Workplace","MEDICAL/HEALTH SERVICE",1
"2020-12-16","4 Workplace","RETAIL",11
"2020-12-16","4 Workplace","WORKPLACE - FARM",11
"2020-12-16","4 Workplace","WORKPLACE - FOOD PROCESSING",41
"2020-12-16","4 Workplace","WORKPLACE - OTHER",77
"2020-12-16","5 Recreational","BAR/RESTAURANT/NIGHTCLUB",3
"2020-12-16","5 Recreational","OTHER RECREATION",8
"2020-12-16","5 Recreational","RECREATIONAL FITNESS",2
"2020-12-16","6 Other/Unknown","OTHER",7
"2020-12-17","1 Congregate Care","HOSPITAL",20
"2020-12-17","1 Congregate Care","LONG-TERM CARE HOME",211
"2020-12-17","1 Congregate Care","RETIREMENT HOME",42
"2020-12-17","2 Congregate Living","CONGREGATE OTHER",4
"2020-12-17","2 Congregate Living","CORRECTIONAL FACILITY",18
"2020-12-17","2 Congregate Living","GROUP HOME/SUPPORTIVE HOUSING",9
"2020-12-17","2 Congregate Living","SHELTER",4
"2020-12-17","3 Education","CHILD CARE",6
"2020-12-17","3 Education","SCHOOL - ELEMENTARY",41
"2020-12-17","3 Education","SCHOOL - POST-SECONDARY",1
"2020-12-17","3 Education","SCHOOL - SECONDARY",16
"2020-12-17","4 Workplace","MEDICAL/HEALTH SERVICE",4
"2020-12-17","4 Workplace","RETAIL",21
"2020-12-17","4 Workplace","WORKPLACE - FARM",33
"2020-12-17","4 Workplace","WORKPLACE - FOOD PROCESSING",32
"2020-12-17","4 Workplace","WORKPLACE - OTHER",73
"2020-12-17","5 Recreational","BAR/RESTAURANT/NIGHTCLUB",3
"2020-12-17","5 Recreational","OTHER RECREATION",3
"2020-12-17","6 Other/Unknown","OTHER",1
"2020-12-18","1 Congregate Care","HOSPITAL",35
"2020-12-18","1 Congregate Care","LONG-TERM CARE HOME",270
"2020-12-18","1 Congregate Care","RETIREMENT HOME",38
"2020-12-18","2 Congregate Living","CORRECTIONAL FACILITY",14
"2020-12-18","2 Congregate Living","GROUP HOME/SUPPORTIVE HOUSING",9
"2020-12-18","3 Education","CHILD CARE",8
"2020-12-18","3 Education","SCHOOL - ELEMENTARY",40
"2020-12-18","3 Education","SCHOOL - SECONDARY",19
"2020-12-18","4 Workplace","MEDICAL/HEALTH SERVICE",2
"2020-12-18","4 Workplace","RETAIL",22
"2020-12-18","4 Workplace","WORKPLACE - FARM",17
"2020-12-18","4 Workplace","WORKPLACE - FOOD PROCESSING",26
"2020-12-18","4 Workplace","WORKPLACE - OTHER",69
"2020-12-18","5 Recreational","BAR/RESTAURANT/NIGHTCLUB",1
"2020-12-18","5 Recreational","OTHER RECREATION",5
"2020-12-19","1 Congregate Care","HOSPITAL",27
"2020-12-19","1 Congregate Care","LONG-TERM CARE HOME",203
"2020-12-19","1 Congregate Care","RETIREMENT HOME",69
"2020-12-19","2 Congregate Living","CORRECTIONAL FACILITY",4
"2020-12-19","2 Congregate Living","GROUP HOME/SUPPORTIVE HOUSING",17
"2020-12-19","2 Congregate Living","SHELTER",1
"2020-12-19","3 Education","CHILD CARE",6
"2020-12-19","3 Education","SCHOOL - ELEMENTARY",16
"2020-12-19","3 Education","SCHOOL - ELEMENTARY/SECONDARY",4
"2020-12-19","3 Education","SCHOOL - POST-SECONDARY",2
"2020-12-19","3 Education","SCHOOL - SECONDARY",13
"2020-12-19","4 Workplace","MEDICAL/HEALTH SERVICE",6
"2020-12-19","4 Workplace","RETAIL",23
"2020-12-19","4 Workplace","WORKPLACE - FARM",19
"2020-12-19","4 Workplace","WORKPLACE - FOOD PROCESSING",12
"2020-12-19","4 Workplace","WORKPLACE - OTHER",67
"2020-12-19","5 Recreational","BAR/RESTAURANT/NIGHTCLUB",2
"2020-12-19","5 Recreational","OTHER RECREATION",5
"2020-12-19","5 Recreational","RECREATIONAL FITNESS",4
"2020-12-20","1 Congregate Care","HOSPITAL",33
"2020-12-20","1 Congregate Care","LONG-TERM CARE HOME",204
"2020-12-20","1 Congregate Care","RETIREMENT HOME",44
"2020-12-20","2 Congregate Living","CONGREGATE OTHER",2
"2020-12-20","2 Congregate Living","CORRECTIONAL FACILITY",7
"2020-12-20","2 Congregate Living","GROUP HOME/SUPPORTIVE HOUSING",15
"2020-12-20","2 Congregate Living","SHELTER",2
"2020-12-20","3 Education","CHILD CARE",6
"2020-12-20","3 Education","SCHOOL - ELEMENTARY",39
"2020-12-20","3 Education","SCHOOL - ELEMENTARY/SECONDARY",2
"2020-12-20","3 Education","SCHOOL - POST-SECONDARY",1
"2020-12-20","3 Education","SCHOOL - SECONDARY",10
"2020-12-20","4 Workplace","MEDICAL/HEALTH SERVICE",6
"2020-12-20","4 Workplace","RETAIL",8
"2020-12-20","4 Workplace","WORKPLACE - FARM",27
"2020-12-20","4 Workplace","WORKPLACE - FOOD PROCESSING",10
"2020-12-20","4 Workplace","WORKPLACE - OTHER",75
"2020-12-20","5 Recreational","BAR/RESTAURANT/NIGHTCLUB",2
"2020-12-20","5 Recreational","OTHER RECREATION",11
"2020-12-20","5 Recreational","RECREATIONAL FITNESS",1
"2020-12-21","1 Congregate Care","HOSPITAL",27
"2020-12-21","1 Congregate Care","LONG-TERM CARE HOME",147
"2020-12-21","1 Congregate Care","RETIREMENT HOME",36
"2020-12-21","2 Congregate Living","CONGREGATE OTHER",2
"2020-12-21","2 Congregate Living","CORRECTIONAL FACILITY",2
"2020-12-21","2 Congregate Living","GROUP HOME/SUPPORTIVE HOUSING",9
"2020-12-21","2 Congregate Living","SHELTER",2
"2020-12-21","3 Education","CHILD CARE",2
"2020-12-21","3 Education","SCHOOL - ELEMENTARY",31
"2020-12-21","3 Education","SCHOOL - ELEMENTARY/SECONDARY",3
"2020-12-21","3 Education","SCHOOL - SECONDARY",12
"2020-12-21","4 Workplace","MEDICAL/HEALTH SERVICE",1
"2020-12-21","4 Workplace","RETAIL",11
"2020-12-21","4 Workplace","WORKPLACE - FARM",22
"2020-12-21","4 Workplace","WORKPLACE - FOOD PROCESSING",27
"2020-12-21","4 Workplace","WORKPLACE - OTHER",65
"2020-12-21","5 Recreational","BAR/RESTAURANT/NIGHTCLUB",2
"2020-12-21","5 Recreational","OTHER RECREATION",11
"2020-12-21","5 Recreational","RECREATIONAL FITNESS",1
"2020-12-22","1 Congregate Care","HOSPITAL",38
"2020-12-22","1 Congregate Care","LONG-TERM CARE HOME",222
"2020-12-22","1 Congregate Care","RETIREMENT HOME",38
"2020-12-22","2 Congregate Living","CONGREGATE OTHER",1
"2020-12-22","2 Congregate Living","CORRECTIONAL FACILITY",6
"2020-12-22","2 Congregate Living","GROUP HOME/SUPPORTIVE HOUSING",24
"2020-12-22","2 Congregate Living","SHELTER",1
"2020-12-22","3 Education","CHILD CARE",7
"2020-12-22","3 Education","SCHOOL - ELEMENTARY",25
"2020-12-22","3 Education","SCHOOL - ELEMENTARY/SECONDARY",2
"2020-12-22","3 Education","SCHOOL - SECONDARY",11
"2020-12-22","4 Workplace","MEDICAL/HEALTH SERVICE",8
"2020-12-22","4 Workplace","RETAIL",10
"2020-12-22","4 Workplace","WORKPLACE - FARM",5
"2020-12-22","4 Workplace","WORKPLACE - FOOD PROCESSING",24
"2020-12-22","4 Workplace","WORKPLACE - OTHER",70
"2020-12-22","5 Recreational","BAR/RESTAURANT/NIGHTCLUB",3
"2020-12-22","5 Recreational","OTHER RECREATION",6
"2020-12-22","5 Recreational","RECREATIONAL FITNESS",5
"2020-12-23","1 Congregate Care","HOSPITAL",51
"2020-12-23","1 Congregate Care","LONG-TERM CARE HOME",202
"2020-12-23","1 Congregate Care","RETIREMENT HOME",40
"2020-12-23","2 Congregate Living","CONGREGATE OTHER",10
"2020-12-23","2 Congregate Living","CORRECTIONAL FACILITY",10
"2020-12-23","2 Congregate Living","GROUP HOME/SUPPORTIVE HOUSING",9
"2020-12-23","2 Congregate Living","SHELTER",3
"2020-12-23","3 Education","CHILD CARE",8
"2020-12-23","3 Education","SCHOOL - ELEMENTARY",19
"2020-12-23","3 Education","SCHOOL - ELEMENTARY/SECONDARY",1
"2020-12-23","3 Education","SCHOOL - SECONDARY",9
"2020-12-23","4 Workplace","MEDICAL/HEALTH SERVICE",5
"2020-12-23","4 Workplace","RETAIL",6
"2020-12-23","4 Workplace","WORKPLACE - FARM",6
"2020-12-23","4 Workplace","WORKPLACE - FOOD PROCESSING",22
"2020-12-23","4 Workplace","WORKPLACE - OTHER",75
"2020-12-23","5 Recreational","BAR/RESTAURANT/NIGHTCLUB",1
"2020-12-23","5 Recreational","OTHER RECREATION",4
"2020-12-23","5 Recreational","RECREATIONAL FITNESS",2
"2020-12-24","1 Congregate Care","HOSPITAL",28
"2020-12-24","1 Congregate Care","LONG-TERM CARE HOME",197
"2020-12-24","1 Congregate Care","RETIREMENT HOME",46
"2020-12-24","2 Congregate Living","CONGREGATE OTHER",2
"2020-12-24","2 Congregate Living","CORRECTIONAL FACILITY",4
"2020-12-24","2 Congregate Living","GROUP HOME/SUPPORTIVE HOUSING",22
"2020-12-24","2 Congregate Living","SHELTER",6
"2020-12-24","3 Education","CHILD CARE",7
"2020-12-24","3 Education","SCHOOL - ELEMENTARY",13
"2020-12-24","3 Education","SCHOOL - SECONDARY",6
"2020-12-24","4 Workplace","MEDICAL/HEALTH SERVICE",11
"2020-12-24","4 Workplace","RETAIL",7
"2020-12-24","4 Workplace","WORKPLACE - FARM",8
"2020-12-24","4 Workplace","WORKPLACE - FOOD PROCESSING",10
"2020-12-24","4 Workplace","WORKPLACE - OTHER",50
"2020-12-24","5 Recreational","BAR/RESTAURANT/NIGHTCLUB",4
"2020-12-24","5 Recreational","OTHER RECREATION",5
"2020-12-24","5 Recreational","RECREATIONAL FITNESS",5
"2020-12-24","6 Other/Unknown","OTHER",1
"2020-12-25","1 Congregate Care","HOSPITAL",25
"2020-12-25","1 Congregate Care","LONG-TERM CARE HOME",239
"2020-12-25","1 Congregate Care","RETIREMENT HOME",48
"2020-12-25","2 Congregate Living","CORRECTIONAL FACILITY",1
"2020-12-25","2 Congregate Living","GROUP HOME/SUPPORTIVE HOUSING",38
"2020-12-25","2 Congregate Living","SHELTER",4
"2020-12-25","3 Education","CHILD CARE",6
"2020-12-25","3 Education","SCHOOL - ELEMENTARY",26
"2020-12-25","3 Education","SCHOOL - ELEMENTARY/SECONDARY",2
"2020-12-25","3 Education","SCHOOL - SECONDARY",6
"2020-12-25","4 Workplace","MEDICAL/HEALTH SERVICE",1
"2020-12-25","4 Workplace","RETAIL",8
"2020-12-25","4 Workplace","WORKPLACE - FARM",21
"2020-12-25","4 Workplace","WORKPLACE - FOOD PROCESSING",17
"2020-12-25","4 Workplace","WORKPLACE - OTHER",46
"2020-12-25","5 Recreational","BAR/RESTAURANT/NIGHTCLUB",2
"2020-12-25","5 Recreational","OTHER RECREATION",4
"2020-12-25","6 Other/Unknown","OTHER",1
"2020-12-26","1 Congregate Care","HOSPITAL",38
"2020-12-26","1 Congregate Care","LONG-TERM CARE HOME",165
"2020-12-26","1 Congregate Care","RETIREMENT HOME",35
"2020-12-26","2 Congregate Living","CORRECTIONAL FACILITY",2
"2020-12-26","2 Congregate Living","GROUP HOME/SUPPORTIVE HOUSING",15
"2020-12-26","2 Congregate Living","SHELTER",9
"2020-12-26","3 Education","CHILD CARE",4
"2020-12-26","3 Education","SCHOOL - ELEMENTARY",10
"2020-12-26","3 Education","SCHOOL - ELEMENTARY/SECONDARY",3
"2020-12-26","3 Education","SCHOOL - SECONDARY",4
"2020-12-26","4 Workplace","MEDICAL/HEALTH SERVICE",2
"2020-12-26","4 Workplace","RETAIL",6
"2020-12-26","4 Workplace","WORKPLACE - FARM",36
"2020-12-26","4 Workplace","WORKPLACE - FOOD PROCESSING",12
"2020-12-26","4 Workplace","WORKPLACE - OTHER",67
"2020-12-26","5 Recreational","BAR/RESTAURANT/NIGHTCLUB",8
"2020-12-26","5 Recreational","OTHER RECREATION",5
"2020-12-26","5 Recreational","RECREATIONAL FITNESS",3
"2020-12-26","6 Other/Unknown","OTHER",2
"2020-12-27","1 Congregate Care","HOSPITAL",26
"2020-12-27","1 Congregate Care","LONG-TERM CARE HOME",156
"2020-12-27","1 Congregate Care","RETIREMENT HOME",40
"2020-12-27","2 Congregate Living","CORRECTIONAL FACILITY",3
"2020-12-27","2 Congregate Living","GROUP HOME/SUPPORTIVE HOUSING",14
"2020-12-27","2 Congregate Living","SHELTER",2
"2020-12-27","3 Education","CHILD CARE",9
"2020-12-27","3 Education","SCHOOL - ELEMENTARY",7
"2020-12-27","3 Education","SCHOOL - ELEMENTARY/SECONDARY",1
"2020-12-27","3 Education","SCHOOL - SECONDARY",4
"2020-12-27","4 Workplace","MEDICAL/HEALTH SERVICE",2
"2020-12-27","4 Workplace","RETAIL",10
"2020-12-27","4 Workplace","WORKPLACE - FARM",19
"2020-12-27","4 Workplace","WORKPLACE - FOOD PROCESSING",18
"2020-12-27","4 Workplace","WORKPLACE - OTHER",67
"2020-12-27","5 Recreational","BAR/RESTAURANT/NIGHTCLUB",6
"2020-12-27","5 Recreational","OTHER RECREATION",6
"2020-12-27","5 Recreational","RECREATIONAL FITNESS",2
"2020-12-27","6 Other/Unknown","OTHER",2
"2020-12-28","1 Congregate Care","HOSPITAL",43
"2020-12-28","1 Congregate Care","LONG-TERM CARE HOME",107
"2020-12-28","1 Congregate Care","RETIREMENT HOME",61
"2020-12-28","2 Congregate Living","CONGREGATE OTHER",1
"2020-12-28","2 Congregate Living","CORRECTIONAL FACILITY",2
"2020-12-28","2 Congregate Living","GROUP HOME/SUPPORTIVE HOUSING",12
"2020-12-28","2 Congregate Living","SHELTER",3
"2020-12-28","3 Education","CHILD CARE",8
"2020-12-28","3 Education","SCHOOL - ELEMENTARY",9
"2020-12-28","3 Education","SCHOOL - ELEMENTARY/SECONDARY",1
"2020-12-28","3 Education","SCHOOL - SECONDARY",1
"2020-12-28","4 Workplace","MEDICAL/HEALTH SERVICE",7
"2020-12-28","4 Workplace","RETAIL",23
"2020-12-28","4 Workplace","WORKPLACE - FARM",22
"2020-12-28","4 Workplace","WORKPLACE - FOOD PROCESSING",20
"2020-12-28","4 Workplace","WORKPLACE - OTHER",64
"2020-12-28","5 Recreational","BAR/RESTAURANT/NIGHTCLUB",9
"2020-12-28","5 Recreational","OTHER RECREATION",8
"2020-12-28","5 Recreational","PERSONAL SERVICE SETTINGS",1
"2020-12-28","5 Recreational","RECREATIONAL FITNESS",3
"2020-12-28","6 Other/Unknown","OTHER",2
"2020-12-29","1 Congregate Care","HOSPITAL",39
"2020-12-29","1 Congregate Care","LONG-TERM CARE HOME",266
"2020-12-29","1 Congregate Care","RETIREMENT HOME",51
"2020-12-29","2 Congregate Living","GROUP HOME/SUPPORTIVE HOUSING",21
"2020-12-29","2 Congregate Living","SHELTER",3
"2020-12-29","2 Congregate Living","SHORT-TERM ACCOMMODATIONS",1
"2020-12-29","3 Education","CHILD CARE",7
"2020-12-29","3 Education","SCHOOL - ELEMENTARY",15
"2020-12-29","3 Education","SCHOOL - ELEMENTARY/SECONDARY",1
"2020-12-29","3 Education","SCHOOL - SECONDARY",5
"2020-12-29","4 Workplace","MEDICAL/HEALTH SERVICE",1
"2020-12-29","4 Workplace","RETAIL",14
"2020-12-29","4 Workplace","WORKPLACE - FARM",15
"2020-12-29","4 Workplace","WORKPLACE - FOOD PROCESSING",21
"2020-12-29","4 Workplace","WORKPLACE - OTHER",67
"2020-12-29","5 Recreational","BAR/RESTAURANT/NIGHTCLUB",9
"2020-12-29","5 Recreational","OTHER RECREATION",4
"2020-12-29","5 Recreational","RECREATIONAL FITNESS",4
"2020-12-29","6 Other/Unknown","OTHER",4
"2020-12-30","1 Congregate Care","HOSPITAL",56
"2020-12-30","1 Congregate Care","LONG-TERM CARE HOME",218
"2020-12-30","1 Congregate Care","RETIREMENT HOME",53
"2020-12-30","2 Congregate Living","CORRECTIONAL FACILITY",2
"2020-12-30","2 Congregate Living","GROUP HOME/SUPPORTIVE HOUSING",24
"2020-12-30","2 Congregate Living","SHELTER",2
"2020-12-30","3 Education","CHILD CARE",4
"2020-12-30","3 Education","SCHOOL - ELEMENTARY",7
"2020-12-30","3 Education","SCHOOL - POST-SECONDARY",1
"2020-12-30","3 Education","SCHOOL - SECONDARY",2
"2020-12-30","4 Workplace","MEDICAL/HEALTH SERVICE",8
"2020-12-30","4 Workplace","RETAIL",15
"2020-12-30","4 Workplace","WORKPLACE - FARM",33
"2020-12-30","4 Workplace","WORKPLACE - FOOD PROCESSING",13
"2020-12-30","4 Workplace","WORKPLACE - OTHER",81
"2020-12-30","5 Recreational","BAR/RESTAURANT/NIGHTCLUB",2
"2020-12-30","5 Recreational","OTHER RECREATION",3
"2020-12-30","5 Recreational","RECREATIONAL FITNESS",4
"2020-12-31","1 Congregate Care","HOSPITAL",54
"2020-12-31","1 Congregate Care","LONG-TERM CARE HOME",271
"2020-12-31","1 Congregate Care","RETIREMENT HOME",53
"2020-12-31","2 Congregate Living","CONGREGATE OTHER",4
"2020-12-31","2 Congregate Living","CORRECTIONAL FACILITY",3
"2020-12-31","2 Congregate Living","GROUP HOME/SUPPORTIVE HOUSING",30
"2020-12-31","2 Congregate Living","SHELTER",4
"2020-12-31","3 Education","CHILD CARE",7
"2020-12-31","3 Education","SCHOOL - ELEMENTARY",6
"2020-12-31","3 Education","SCHOOL - ELEMENTARY/SECONDARY",2
"2020-12-31","3 Education","SCHOOL - SECONDARY",5
"2020-12-31","4 Workplace","MEDICAL/HEALTH SERVICE",2
"2020-12-31","4 Workplace","RETAIL",20
"2020-12-31","4 Workplace","WORKPLACE - FARM",13
"2020-12-31","4 Workplace","WORKPLACE - FOOD PROCESSING",24
"2020-12-31","4 Workplace","WORKPLACE - OTHER",61
"2020-12-31","5 Recreational","BAR/RESTAURANT/NIGHTCLUB",12
"2020-12-31","5 Recreational","OTHER RECREATION",11
"2020-12-31","5 Recreational","RECREATIONAL FITNESS",3
"2020-12-31","6 Other/Unknown","OTHER",3
"2020-12-31","6 Other/Unknown","UNKNOWN",1
"2021-01-01","1 Congregate Care","HOSPITAL",39
